,Price,Suburb,Region,Postcode,Address,Size (m^2),Property Type,Beds,Baths,Parking,URL
0,"$520,000 ",HURSTVILLE,NSW,2220,"6/68 Park Road, ",,Apartment / Unit / Flat,,,,https://www.domain.com.au/6-68-park-road-hurstville-nsw-2220-2017142307
1,"$620,000 - $650,000 ",HURSTVILLE,NSW,2220,"1008/460 Forest Road, ",,Apartment / Unit / Flat,,,,https://www.domain.com.au/1008-460-forest-road-hurstville-nsw-2220-2017142295
2,For Sale ,CARINGBAH,NSW,2229,"41/137-143 Willarong Road, ",,Apartment / Unit / Flat,,,,https://www.domain.com.au/41-137-143-willarong-road-caringbah-nsw-2229-2017142292
3,Just Listed ,WESTMEAD,NSW,2145,"8/17 Caroline Street, ",,Apartment / Unit / Flat,,,,https://www.domain.com.au/8-17-caroline-street-westmead-nsw-2145-2017142255
4,"$439,000 ",BLACKTOWN,NSW,2148,"6/8-10 Fourth Avenue, ",,Apartment / Unit / Flat,,,,https://www.domain.com.au/6-8-10-fourth-avenue-blacktown-nsw-2148-2017142169
5,Online Auction 21st August 2.15pm ,LEICHHARDT,NSW,2040,"C1.603/25 Upward Street, ",103m² ,Apartment / Unit / Flat,2 Beds,2 Baths,1 Parking,https://www.domain.com.au/c1-603-25-upward-street-leichhardt-nsw-2040-2017142125
6,For Sale | Trio Property Agency ,ERSKINEVILLE,NSW,2043,"B418/61 Ashmore Street, ",,Apartment / Unit / Flat,,,,https://www.domain.com.au/b418-61-ashmore-street-erskineville-nsw-2043-2017098462
7,"$895,000 to $1,020,000 ",HOMEBUSH,NSW,2140,"11-13 & 15-17 Columbia Lane, ",,Apartment / Unit / Flat,,,,https://www.domain.com.au/11-13-15-17-columbia-lane-homebush-nsw-2140-2016913367
8,"Price Guide $520,000 - $540,000 ",WESTMEAD,NSW,2145,"212/91c Bridge Road, ",,Apartment / Unit / Flat,,,,https://www.domain.com.au/212-91c-bridge-road-westmead-nsw-2145-2017142102
9,"Price Guide $415,000 - $435,000 ",WENTWORTHVILLE,NSW,2145,"2/41-49 Lane Street, ",,Apartment / Unit / Flat,,,,https://www.domain.com.au/2-41-49-lane-street-wentworthville-nsw-2145-2017142100
10,Forthcoming Auction ,ABBOTSFORD,NSW,2046,"10/3 Blackwall Point Road, ",,Apartment / Unit / Flat,,,,https://www.domain.com.au/10-3-blackwall-point-road-abbotsford-nsw-2046-2017142098
11,"$320,000 ",COFFS HARBOUR,NSW,2450,"5/27 Arthur Street, ",,Apartment / Unit / Flat,,,,https://www.domain.com.au/5-27-arthur-street-coffs-harbour-nsw-2450-2017142075
12,Auction 14/08/2021 @ 1:00pm ,NORTH SYDNEY,NSW,2060,"608/28 West Street, ",,Apartment / Unit / Flat,,,,https://www.domain.com.au/608-28-west-street-north-sydney-nsw-2060-2017142062
13,"$330,000 - $360,000 ",PORT MACQUARIE,NSW,2444,"11/4 Waugh Street, ",,Apartment / Unit / Flat,,,,https://www.domain.com.au/11-4-waugh-street-port-macquarie-nsw-2444-2017141996
